ID,3.5mm jack,Battery,GPS Support,GPU,Internal Storage,Card slot,NFC,Name,OS,Price,Primary Camera,Clock Speed,SIM,Secondary Camera,Sensors,Weight,Resolution
533,Yes,2700,,,32 GB,Hybrid Slot,,Comio S1 4G ,Android Nougat 7.0,"‚¹8,499",13MP,1.3 GHz,,8MP,,159 g,1280 x 720 Pixels
534,,1800,,,32 MB,Dedicated Slot,,Ssky S9007 Rainbow,,"‚¹1,070",1.3MP,1.2 MHz,,,,,129 x 119$$Pixels
535,,2000,Yes,,16 GB,Hybrid Slot,,Panasonic P99 ,Android Nougat 7,"‚¹5,499",8MP,1.25 GHz,Nano SIM and Nano SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light",145 g,1280 x 720 Pixels
536,Yes,1200,,,64 MB,Dedicated Slot,,1+1=2 D1 Dual Sim Combo of Two Mobile,0,"‚¹1,119",0.3MP,,,,,,128 x 160$$Pixels
537,Yes,800,,,,Dedicated Slot,,JIVI N201 Selfie,,‚¹849,1.3MP,1 MHz,Normal SIM,0.3MP,,,240 x 320 pixels
538,Yes,950,,,64 MB,Dedicated Slot,,GLX W8,0,‚¹569,0.3MP,,,,,,128 x 160$$Pixels
539,,1200,,,20 MB,Dedicated Slot,,Reach Cogent Mini,,‚¹899,0.03MP,,,,,,320 x 480 Pixels
540,Yes,1200,,,64 MB,Dedicated Slot,,1+1=2 D7,0,‚¹569,0.3MP,,,,,,128 x 160$$Pixels
541,,1050,,,32 MB,,,Adcom 201,,"‚¹1,111",0.3MP,,Normal,,,125 g,240 x 320
542,Yes,1800,Yes,,4 GB,,No,Karbonn Titanium S4 ,Android Jelly Bean 4.2,"‚¹13,298",13MP,1.2 GHz,,2MP,"Ambient Light Sensor, Proximity Sensor, Accelerometer",,1280 x 720 Pixels
543,Yes,3000,Yes,ARM MaIi - T860 MP2,32 GB,Dedicated Slot,,VIVO Y69 ,Android Nougat 7.0,"‚¹13,990",13MP,1.5 GHz,Nano SIM and Nano SIM,16MP,"Fingerprint Sensor, Accelerometer, Ambient Light Sensor, Proximity Sensor, E-compass and Virtual Gyroscope",162.8 g,1280 x 720 pixels
544,,1700,,,32 MB,Dedicated Slot,,Kechaoda Stylish Bold K101,,"‚¹1,040",0.03MP,,,,,,280 x 360 Pixels
545,Yes,950,,,64 MB,Dedicated Slot,,GLX W5 Combo of Two Mobiles,0,"‚¹1,119",0.3MP,,,,,,128 x 160$$Pixels
546,,2500,,,32 GB,Hybrid Slot,,Coolpad Note 3S ,Android Marshmallow 6,"‚¹9,999",13MP,1.36 GHz,,,Fingerprint Sensor,167 g,1280 x 720 Pixels
547,Yes,850,,,64 MB,Dedicated Slot,,Peace P4 Combo of Two Mobiles,0,"‚¹1,019",0.3MP,,,,,,128 x 160$$Pixels
548,Yes,2000,Yes,Mali-400 MP2,4 GB,Dedicated Slot,No,Micromax Unite 2 A106 ,Android KitKat 4.4.2,"‚¹6,799",5MP,1.3 GHz,,2MP,"Accelerometer, Gravity Sensor, Proximity Sensor",,800 x 480 Pixels
549,Yes,2630,,ARM Mali T720,16 GB,Dedicated Slot,Yes,Nokia 3 ,Android Nougat 7,"‚¹8,390",8MP,1.3 GHz,Micro SIM,8MP,"Accelerometer (G-sensor), Ambient Light Sensor, E-compass, Gyroscope, Proximity Sensor",,1280 x 720
550,Yes,3600,Yes,,64 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Pro ,Android Nougat 7.0,"‚¹18,900",13MP,1.6 GHz,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g,1920 x 1080 Pixels
551,Yes,4000,Yes,,16 GB,Dedicated Slot,,Infinix Hot 4 Pro ,Android Marshmallow 6.0,"‚¹6,999",13MP,1.3 GHz,Micro SIM and Micro SIM,5MP,"G-sensor, E-compass, Light Sensor, Proximity Sensor, Fingerprint Sensor",175 g,1280 x 720 Pixels
552,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
553,,,Yes,,64 GB,,,Apple iPhone 8 ,iOS iOS 11,"‚¹56,999",12MP,,Nano SIM,7MP,"Touch ID Fingerprint Sensor Built into the Home Button, Barometer, Three-axis Gyro, Accelerometer, Proximity Sensor, Ambient Light Sensor",148 g,1334 x 750 Pixels
554,,,Yes,,256 GB,,,Apple iPhone X ,iOS 11,"‚¹98,499",12MP + 12MP,,Nano SIM,7MP,"Face ID, Barometer, Three-axis Gyro, Accelerometer, Proximity Sensor, Ambient Light Sensor",174 g,2436 x 1125 Pixels
555,Yes,2000,Yes,,8 GB,Hybrid Slot,,Samsung Galaxy J2-2017 ,Android Lollipop 5.4.1,"‚¹6,590",5.0MP,1.3 GHz,Micro SIM (3FF),2.0MP,"Accelerometer, Proximity Sensor",130 g,540 x 960 Pixels
556,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
557,Yes,2500,,,16 GB,Dedicated Slot,,Xolo ERA 1X Pro ,Android Marshmallow 6,"‚¹5,499",8MP,1.5 GHz,,5MP,Accelerometer,,720 x 1280 Pixels
558,,,Yes,,256 GB,,,Apple iPhone X ,iOS 11,"‚¹98,499",12MP + 12MP,,Nano SIM,7MP,"Face ID, Barometer, Three-axis Gyro, Accelerometer, Proximity Sensor, Ambient Light Sensor",174 g,2436 x 1125 Pixels
559,,1000,,,64 MB,Dedicated Slot,,I Kall K11,,‚¹999,0.3MP,,,,,,128 x 160$$Pixxels
560,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
561,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
562,Yes,800,,,32 MB,Dedicated Slot,,Lava Prime X,,"‚¹1,389",1.3MP,1 MHz,Micro SIM,,,,120 x 160$$Pixels
563,Yes,3000,Yes,,32 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7,"‚¹11,900",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
564,Yes,3000,Yes,ARM Mali-T720 MP1; 650 MHz,16 GB,Dedicated Slot,Yes,iVooMi Me3 ,Android Nougat 7,"‚¹4,999",8MP,1.3 GHz,Nano SIM,8MP,"Light Sensor, G-Sensor, Proximity Sensor",158 g,1280 x 720 pixels
565,Yes,4000,Yes,Adreno 506,32 GB,Hybrid Slot,,Redmi Note 5 ,Android Nougat 7.1.2,"‚¹9,999",12MP,2 GHz,Nano SIM and Nano SIM,5MP,"Fingerprint Scanner, Ambient Light Sensor, Proximity Sensor, E Compass, Accelerometer, Hall Sensor, Gyroscope",180 g,2160 x 1080 Pixels
566,Yes,1750,,,32 KB,Dedicated Slot,,Lava Captain 9s,,‚¹969,0.3MP,1 GHz,,,,53 g,120x160 Pixels
567,Yes,2000,Yes,A304 at 400 MHz,8 GB,Dedicated Slot,,Micromax Vdeo 3 ,Android Marshmallow 6,"‚¹4,999",5MP,1.1 GHz,Micro SIM and Micro SIM,2MP,"Gravity Sensors, Proximity Sensor, Light Sensor, Accelerometer",110 g,1280 x 720 pixels
568,Yes,3300,Yes,,16 GB,,Yes,Samsung Galaxy A7 2016 Edition ,Android Lollipop 5.1,"‚¹17,100",13MP,1.6 GHz,Nano SIM,5MP,"Accelerometer, Fingerprint Sensor, Geo-magnetic Sensor, Hall Sensor, Proximity Sensor, RGB Light Sensor",169 g,1920 x 1080 Pixels
569,,2000,,,8 GB,Hybrid Slot,,Karbonn Fashion Eye ,Android Lollipop 5.1,"‚¹3,499",8MP,1.3 GHz,,,,,320 x 480 Pixels
570,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
571,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
572,Yes,2800,Yes,,16 GB,Dedicated Slot,Yes,Moto G5 ,Android Nougat 7.0,"‚¹8,249",13MP,1.4 GHz,,5MP,,145 g,1920 x 1080 Pixels
573,Yes,3000,Yes,,16 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7,"‚¹9,990",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
574,,800,,,10 MB,Dedicated Slot,,Rocktel R9,,‚¹579,0.3MP,,,,,,320 x 240 Pixels
575,,1500,,,56 MB,Dedicated Slot,,Spice Z301,,"‚¹1,750",0.03MP,1 MHz,,,,,240 x 320$$Pixels
576,,850,,,16 MB,Dedicated Slot,,Forme N5+ Selfie Camera,,‚¹699,0.3MP,,,,,,260 x 160 Pixels
577,,2200,,,16 GB,Dedicated Slot,,HTC Desire 630 ,Android Marshmallow 6,"‚¹9,280",8MP,1.6 GHz,Nano SIM,5MP,,140 g,1280 x 720
578,,2500,Yes,,16 GB,,,Asus Zenfone Go 5.0 LTE ,Android KitKat 4.4,"‚¹5,990",8MP,1.2 GHz,Micro SIM,5MP,"Accelerometer, Gravity Sensor, Proximity Sensor, Ambient Light Sensor",,1280 x 720 Pixels
579,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
580,,1200,,,32 MB,Dedicated Slot,,Mu M8,,"‚¹1,079",0MP,,,,,,120 x 220$$Pixels
581,Yes,1600,,,,Dedicated Slot,,Videocon Dost V1GC,,‚¹850,0.3MP,,,,,115 g,128 x 160 Pixels
582,Yes,1600,,,32 MB,,,Mtech Trendy,,"‚¹1,249",0.3MP,,Normal SIM,0.3MP,,55.1 g,240 x 320 Pixels
583,,2800,,,8 GB,Dedicated Slot,,obi Pelican ,Android Lollipop 5.0,"‚¹3,988",5MP,1.5 GHz,,,,,1920 x 1080$$Pixels
584,,3000,,,20 MB,Hybrid Slot,,Ziox Thunder Bolt,,"‚¹1,299",0.3MP,,Normal SIM,,,,240 x 320 Pixels
585,Yes,800,,,,,,Celkon C26,,"‚¹1,298",1.3MP,,Mini SIM,,,75 g,240 x 320 pixels
586,,1000,,,128 MB,Dedicated Slot,,MTR Mt05,,"‚¹1,599",0.3MP,1.4 MHz,,,,,120 x 240$$Pixels
587,Yes,3300,Yes,ARM Mali T830 MP1,32 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Prime ,Android Marshmallow 6,"‚¹13,900",13MP,1.6 GHz,Micro SIM,8MP,"Accelerometer, Light Sensor, Proximity Sensor",,1920 x 1080 Pixels
588,Yes,1200,,,64 MB,Dedicated Slot,,1+1=2 D1 Dual Sim Combo of Two Mobile,0,"‚¹1,119",0.3MP,,,,,,128 x 160$$Pixels
589,,2500,Yes,,16 GB,,,Asus Zenfone Go 5.0 LTE ,Android KitKat 4.4,"‚¹5,990",8MP,1.2 GHz,Micro SIM,5MP,"Accelerometer, Gravity Sensor, Proximity Sensor, Ambient Light Sensor",,1280 x 720 Pixels
590,Yes,1200,Yes,Intel 544 DC Gfx,8 GB,,,Asus Padfone Mini ,Android Jelly Bean 4.3,"‚¹12,399",8MP,1.6 GHz,Micro SIM,2MP,"Proximity Sensor, eCompass, G-Sensor",116 g,800 x 480 Pixels(On device) + 1200 x 800 Pixels(On Station) Pixels
591,,1200,,,10 MB,Dedicated Slot,,Reach Cogent Mini,,‚¹899,0.3MP,,,,,,320 x 480 Pixels
592,Yes,2500,Yes,Mali - T720 MP1,16 GB,Dedicated Slot,,Micromax Bharat 4 ,Android Nougat 7,"‚¹5,100",5MP,1.3 GHz,Micro SIM and Micro SIM,5MP,"Gravity Sensors, Proximity Sensor (By SW)",150 g,1280 x 720 Pixels
593,Yes,950,,,64 MB,Dedicated Slot,,Gfive U707 Combo of Two Mobile,0,"‚¹1,169",0.3MP,,,,,,128*160
594,,2300,,,8 GB,Dedicated Slot,,Zen M72 Smart ,Android Nougat 7,"‚¹3,130",2MP,1.3 GHz,,,,,480 x 800 Pixels
595,,,Yes,,64 GB,,,Apple iPhone 8 Plus ,iOS iOS 11,"‚¹65,999",12MP + 12MP,,Nano SIM,7MP,"Touch ID Fingerprint Sensor Built into the Home Button, Barometer, Three-axis Gyro, Accelerometer, Proximity Sensor, Ambient Light Sensor",202 g,1920 x 1080 Pixels
596,,1050,,,32 MB,,,Adcom X17 ,,‚¹751,0MP,,Normal,,,,240*320
597,,800,,,1 MB,,,JIVI X3i,,‚¹709,1.3MP,,Normal SIM,,,95 g,169 x 128 Pixel
598,,1800,,,32 MB,Dedicated Slot,,Winstar D555+,,‚¹999,0.3MP,1.2 MHz,Micro SIM,,,,320 x 240$$Pixels
599,Yes,1800,,,10 MB,Dedicated Slot,,BlackZone TURBO,,‚¹849,1.3MP,1 MHz,,,,,320 x 240$$Pixels
600,,2700,Yes,,16 GB,,,HTC Desire 825 ,Android Marshmallow 6,"‚¹12,580",13MP,1.6 GHz,Nano SIM,5MP,,155 g,1280 x 720
601,,2000,Yes,,16 GB,Hybrid Slot,,Panasonic P99 ,Android Nougat 7,"‚¹5,499",8MP,1.25 GHz,Nano SIM and Nano SIM,5MP,"Accelerometer, Proximity Sensor, Ambient Light",145 g,1280 x 720 Pixels
602,Yes,3000,Yes,,32 GB,Hybrid Slot,,Honor 9 Lite ,Android Oreo 8,"‚¹10,999",13MP + 2MP,2.36 GHz,Nano SIM,13MP + 2MP,"Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Compass, Gravity Sensor, Phone Status Indicator",149 g,2160 x 1080 Pixels
603,Yes,5000,Yes,,32 GB,Dedicated Slot,,Moto E4 Plus ,Android Nougat 7.1.1,"‚¹9,999",13MP,1.3 GHz,Nano SIM and Nano SIM,5MP,"Fingerprint, Accelerometer, Ambient Light, Proximity Sensor",198 g,1280 x 720 Pixels
604,,850,,,50 MB,Dedicated Slot,,Kechaoda K115,,‚¹825,0.3MP,,,,,,320 x 240 Pixels
605,Yes,4000,Yes,Adreno 505 at 450 MHz,32 GB,Hybrid Slot,,Lenovo K6 Power ,Android Marshmallow 6.0.1,"‚¹9,299",13MP,1.4 GHz,Nano SIM,8MP,"Gravity, Proximity, Light, Vibrator, Gyro, Fingerprint Sensor, Use the Fingerprint Reader to Effortlessly Click Selfies",145 g,1920 x 1080
606,,4000,,,32 GB,Dedicated Slot,,Lenovo K8 Plus ,Android Nougat 7.1.1,"‚¹9,999",13MP + 5MP,2.5 GHz,Nano SIM,8MP,Fingerprint Sensor,,1920 x 1080 Pixels
607,Yes,3600,Yes,,64 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Pro ,Android Nougat 7.0,"‚¹18,900",13MP,1.6 GHz,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g,1920 x 1080 Pixels
608,,1050,,,256 MB,Dedicated Slot,,Gfive Guru,,‚¹570,0.3MP,,,,,,320 x 240 Pixels
609,Yes,4000,Yes,,128 GB,Hybrid Slot,Yes,Honor 8 Pro ,Android Nougat 7.0,"‚¹29,999",12MP + 12MP,2.4 GHz,Nano SIM,8MP,"Hall Sensor, Infrared Sensor, Fingerprint Sensor, Proximity Sensor, Ambient Light Sensor, Digital Compass, Gravity Sensor, Gyroscope, Status Indicator",184 g,2560 x 1440 Pixels
610,,3050,,,16 GB,Dedicated Slot,,Coolpad Mega 3 ,Android Marshmallow 6.0,"‚¹5,949",8MP,1.2 GHz,NANO,,,,720*1280
611,Yes,3600,Yes,,64 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Pro ,Android Nougat 7.0,"‚¹18,900",13MP,1.6 GHz,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g,1920 x 1080 Pixels
612,Yes,3600,Yes,,64 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Pro ,Android Nougat 7.0,"‚¹18,900",13MP,1.6 GHz,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g,1920 x 1080 Pixels
613,,750,,,30 MB,Dedicated Slot,,Kechaoda K66,,‚¹783,,,microSD,,,,320 x 480 Pixels
614,,3130,,,64 GB,Hybrid Slot,,Gionee S6 Pro ,Android Marshmallow v6.0,"‚¹11,450",13MP,1.8 GHz,,,,,1920 x 1080 Pixels
615,Yes,3000,,,16 GB,Hybrid Slot,,InFocus A3 ,Android Nougat 7.0,"‚¹7,599",13MP + 2MP,1.3 GHz,,8MP,Fingerprint Sensor,,720 x 1280$$Pixels
616,Yes,3600,Yes,,64 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Pro ,Android Nougat 7.0,"‚¹18,900",13MP,1.6 GHz,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g,1920 x 1080 Pixels
617,Yes,3600,Yes,,64 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Pro ,Android Nougat 7.0,"‚¹18,900",13MP,1.6 GHz,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g,1920 x 1080 Pixels
618,,2000,,,8 GB,Dedicated Slot,,Swipe Elite Prime ,Android Marshmallow 6.0,"‚¹2,799",5MP,1.5 GHz,,,,,480 x 800$$Pixels
619,,1000,,,32 MB,Dedicated Slot,,Callbar K3310,,‚¹649,0.3MP,,Normal SIM,,,,320 x 480 Pixels
620,Yes,1800,,,64 MB,Dedicated Slot,,I Kall K35,,‚¹799,0.3MP,,,,,,320 x 240 Pixels
621,Yes,3000,Yes,,32 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7,"‚¹11,900",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
622,,3300,,,64 GB,Hybrid Slot,,LG G6 ,Android Nougat 7,"‚¹36,990",13MP + 13MP,2.35 GHz,,5MP,,,2880 x 1440 Pixels
623,,1000,,,1 MB,,,ssky K7,,‚¹699,1MP,,,,,,320 x 480 Pixels
624,Yes,1800,,,,Dedicated Slot,,Zen M72 Slim,,"‚¹1,119",1.3MP,,,,,115 g,240 x 320
625,Yes,2300,,,8 GB,Dedicated Slot,,Karbonn K9 Smart Yuva 4G VoLTE ,Android Nougat 7,"‚¹4,299",5MP,1.3 GHz,,,"Proximity, Ambient Light Sensor",,1280 x 720$$Pixels
626,,1000,,,64 MB,,,I Kall K 55,,‚¹599,0.3MP,,,,,,128 x 160 Pixels
627,Yes,3000,Yes,,32 GB,Dedicated Slot,,Samsung Galaxy J7 Nxt ,Android Nougat 7,"‚¹11,900",13MP,1.6 GHz,Micro SIM (3FF),5MP,"Accelerometer, Proximity Sensor",170 g,1280 x 720 Pixels
628,Yes,1050,,,32 KB,Dedicated Slot,,Gfive Plus,,‚¹579,0.3MP,,Regular SIM,,,,160 x 128$$Pixels
629,Yes,4000,Yes,450 MHz,32 GB,Hybrid Slot,,Micromax Evok Note ,Android Marshmallow 6,"‚¹9,499",13MP,1.3 GHz,Nano SIM and Nano SIM,5MP,"Fingerprint Sensor, Gravity Sensors, Proximity Sensor, Light Sensor, Accelerometer, Gyroscope Sensor",162 g,1920 x 1080 pixels
630,,3000,,,16 GB,Dedicated Slot,,Videocon Delite 21 ,Android Marshmallow 6,"‚¹5,240",8MP,1.3 GHz,,,,,1280 x 720 Pixels
631,Yes,3600,Yes,,64 GB,Dedicated Slot,Yes,Samsung Galaxy J7 Pro ,Android Nougat 7.0,"‚¹18,900",13MP,1.6 GHz,Nano SIM (4FF),13MP,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, Light Sensor, RGB Light Sensor, Proximity Sensor",178 g,1920 x 1080 Pixels
632,,1050,,,35 KB,Dedicated Slot,,Mafe Lite 3310,,‚¹749,0.3MP,,,,,,160 x 128
633,Yes,4300,Yes,Mali-T720 MP3 450 MHz,32 GB,Dedicated Slot,,Infinix Note 4 ,Android Nougat 7,"‚¹8,999",13MP,1.3 GHz,Micro SIM and Micro SIM,8MP,"G-sensor, Light Sensor, Proximity Sensor, Compass Sensor, Gryo Sensor, Hall Sensor",,1920 x 1080 pixels
634,Yes,950,,,64 MB,Dedicated Slot,,Gfive U229 Combo of Two Mobile,0,"‚¹1,119",0.3MP,,,,,,128 x 160$$Pixels
635,,1050,,,512 MB,Dedicated Slot,,Mezire Duoss DS3310,0,‚¹699,0.03MP,1.2 MHz,,,,,176 x 220$$Pixels
636,Yes,2000,Yes,Mali - T720ï¿½MP1,8 GB,Dedicated Slot,,Micromax Bharat 3 ,Android Nougat 7.0,"‚¹4,375",5MP,1.1 GHz,Micro SIM and Micro SIM,5MP,"Gravity Sensors, Proximity Sensor (By SW)",130 g,854 x 480 Pixels
637,Yes,4000,Yes,,8 GB,,,Karbonn Aura Power ,Android Lollipop 5.1,"‚¹5,449",8MP,1 GHz,,5MP,"Accelerometer, Proximity, Gravity, Gyro",,854 x 480
638,Yes,2000,,,16 GB,Hybrid Slot,,Intex Aqua Xtreme II ,Android KitKat 4.4.2,"‚¹5,999",13MP,1.4 GHz,,5MP,"G-Sensor,Proximity Sensor,Light Sensor,Gyro,E-compass",132 g,1280 x 720 Pixels
639,Yes,2300,,,16 GB,Dedicated Slot,,Karbonn K9 Kavach ,Android Nougat 7,"‚¹5,299",5MP,1.25 GHz,,,"Proximity, Ambient Light Sensor, Finger Print Sensor",161.3 g,1280 x 720$$Pixels
640,Yes,3000,Yes,ARM Quad Core Mali-T880,32 GB,Hybrid Slot,,InFocus Epic 1 ,Android Marshmallow 6,"‚¹9,800",16MP,2.3 GHz,,8MP,"Finger Print Sensor, BMC156 G-Sensor, E-Compass, Gyroscope, Hall Sensor",160 g,1920 x 1080 pixels
641,,1800,,,64 MB,Dedicated Slot,,Citycall M87,,"‚¹1,099",1.3MP,,,,,,320 x 400 Pixels
642,Yes,1800,,,1 MB,,,Karbonn K88 Dual Sim - Black & Red,,"‚¹1,289",1.3MP,,Micro SIM,,,120 g,320 x 240 pixels
643,Yes,950,,,64 MB,Dedicated Slot,,Gfive U229,0,‚¹529,0.3MP,,,,,,128 x 160$$Pixels
644,,1000,,,2.27 MB,,,Samsung Metro 313 Dual Sim,,"‚¹2,025",3MP,,Micro SIM,,,75.2 g,128 x 160 Pixels
645,Yes,1800,,,32 MB,,,Ziox Z23,,‚¹890,0.3MP,,Micro SIM,,,,
646,Yes,3000,,,16 GB,Dedicated Slot,Yes,Nokia 5 ,Android Nougat 7.1.1,"‚¹11,899",13MP,1.4 GHz,,8MP,"Accelerometer (G-sensor), Ambient Light Sensor, E-compass, Fingerprint Sensor, Hall Sensor, Gyroscope, Proximity Sensor, NFC (Sharing)",,1280 x 720 Pixels
647,Yes,1000,,,32 MB,,,Sansui Z11,,‚¹809,0.3MP,,,,,,128 x 160 pixels
648,,1500,,,32 MB,Dedicated Slot,,Winstar L6 ,,‚¹980,0.8MP,1.2 GHz,,,,,240 x 360$$Pixels
649,Yes,1500,,,32 MB,Dedicated Slot,,Tork T11,,‚¹749,0.3MP,,Normal SIM,,,,320 x 240 Pixels
650,Yes,3000,,,32 MB,,,Blackbear C-88,,"‚¹1,250",0.3MP,,,,,120 g,320 x 220 Pixels
651,,800,,,,,,Iball Prince 2,,‚¹749,0.3MP,,,,,,128 x 160 Pixels
652,Yes,2200,,,10 MB,Dedicated Slot,,Kara K-9 Slim,,‚¹999,0.3MP,1 MHz,Normal SIM,,,,320 x 240$$Pixels
653,,2000,Yes,,16 GB,Dedicated Slot,,Hyve Storm ,Android Lollipop 5.1.1,"‚¹4,799",13MP,1.3 GHz,Micro SIM,5MP,,160 g,1280 x 720 Pixels
654,Yes,1000,,,10 MB,Dedicated Slot,,Blackzone Neo,,‚¹599,0.3MP,1 MHz,Normal SIM,,,,320 x 240$$Pixels
655,,3075,Yes,Mali-T860 MP2,64 GB,Dedicated Slot,No,OPPO F1S ,Android Lollipop 5.1,"‚¹14,490",13MP,1.4 GHz,Nano SIM,16MP,"M Sensor, Light Sensor, Distant Sensor, G Sensor, Hall Sensor, Finger Print Sensor",160 g,1280 x 720 Pixels
656,,1500,,,35 MB,Hybrid Slot,,Yxtel ULTRA 2400,,‚¹894,1.3MP,,,,,,320 x 480 Pixels
657,Yes,380,,,32 MB,,,AIEK M3,1,"‚¹1,899",0MP,1 GHz,Micro SIM,,,35 g,160 X 128 Pixels
658,,850,,,256 MB,Dedicated Slot,,Peace P4,,‚¹509,0.3MP,,,,,,320 x 240 Pixels
659,,2300,Yes,,16 GB,Dedicated Slot,,Gionee P5L ,Android Lollipop 5.1,"‚¹6,950",8MP,1.3 GHz,,5MP,"Proximity Sensor, G-Sensor, Accelerometer, Light Sensor, Digital Compass",146.9 g,1280 x 720 Pixels
660,Yes,800,,,,Dedicated Slot,,JIVI X57i Selfie,,‚¹848,1.3MP,1 MHz,Normal SIM,0.3MP,,95 g,169 x 128 pixels
661,,1050,,,16 MB,Dedicated Slot,,Gfive Classic,,‚¹590,0.8MP,1.2 MHz,,,,,160 x 260$$Pixels
662,,1000,,,32 KB,Dedicated Slot,,Ziox Starz Flash,,‚¹999,0.3MP,,,,,,320 x 480$$Pixels
663,,3200,Yes,,16 GB,Dedicated Slot,,Panasonic P66 Mega ,Android Lollipop 5.1,"‚¹5,499",8MP,1.3 GHz,,5MP,,,1280 x 720 Pixels
664,,1400,,,32 MB,,,Karbonn K-Phone 1,,"‚¹1,105",1.3MP,,,,,,240 x 320 Pixels
665,Yes,3000,Yes,,64 GB,Hybrid Slot,Yes,HTC Desire 10 Pro ,Android Marshmallow 6,"‚¹17,200",20MP,1.8 GHz,Nano SIM,13MP,"Accelerometer, Finger Print Sensor, Gyro, Proximity Sensor, Compass",165 g,1080 x 1920 Pixels
