,Unnamed: 0,2G bands,3.5mm jack,3G Speed,3G bands,4G bands,Alert types,Announced,Audio Jack,Audio quality,Battery Capacity,Battery life,Bluetooth Support,Bluetooth Version,Browser,Browser.1,Build,Camera,Dimensions,Display Colors,Display Size,Display Type,EDGE,Expandable Storage,FM Radio,Features,GPRS,GPRS Features,GPS,GPS Support,GPU,Instant Message,Internal,Internal Storage,Internet Connectivity,Loudspeaker,Memory Card Slot Type,Messaging,Multitouch,Music play,NFC,Name,Operating System,Other Display Features,Performance,Price_INR,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Protection,RAM,Resolution,SAR,SAR EU,SIM Size,SMS,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Sensors,Stand-by,Status,Supported Networks,Talk time,USB,Video,WLAN,Weight,Wi-Fi Version
42,42,,,,,,,,3.5 mm,,3000 mAh,,Yes,4.1,,,,,,,5.2 inch,IPS LCD,,128 GB,,,,,,,,,,16 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,Yes,Nokia 5 ,Android Nougat 7.1.1,"Aspect Ratio: 16:9, 2.5D Sculpted Corning Gorilla Glass, BrightnessÂ 500 nits, Laminated, Sunlight Visibility Improvement, Polarizer",,"‚¹11,499",13MP,Yes,"PDAF, 1.12 micrometer, f/2",1.4 GHz,Octa Core,Qualcomm Snapdragon 430 64-bit Octa Core 1.4 GHz,,3 GB,1280 x 720 Pixels,,,,Yes,8MP,Yes,"Auto Focus, 1.12 micrometer, f/2, FOV 84Degree","Accelerometer (G-sensor), Ambient Light Sensor, E-compass, Fingerprint Sensor, Hall Sensor, Gyroscope, Proximity Sensor, NFC (Sharing)",,,"4G VoLTE, UMTS, WCDMA, GSM, 4G LTE",,,,,,
43,43,,,,,,,,3.5 mm,,2000 mAh,,Yes,,,,,,,16.7 M,4.7 inch,IPS,,32 GB,Yes,,,,,Yes,,,,8 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,Intex Aqua Amaze Plus ,Android Marshmallow 6,"77.80 % Screen to Body Ratio, 2 Fingers Touch",,"‚¹4,145",5MP,Yes,"Auto Focus, Make: CW3611-FG3, Aspect Ratio: 16:09, Face Beauty, Panorama, HDR, Face Detection",1.3 GHz,Quad Core,SC9832A,,1 GB,1280 x 720 Pixels,,,Micro SIM and Nano SIM,Yes,5MP,Yes,"Selfie, Fixed Focus, CW3611-FK3, Sensor: SAMSUNG","GC Sensor, G-sensor, Proximity Sensor, Light Sensor 3 in 1",,,"4G LTE, 4G LTE",,,,,128 g,
44,44,,,,,,,,,,2500 mAh,,,,,,,,,,5 inch,,,,,,,,,,,,,8 GB,,,Dedicated Slot,,,,,Celkon U Feel Pro ,Android Marshmallow 6.0,,,"‚¹3,999",5MP,,,1.2 GHz,Quad Core,,,1 GB,720 x 1280$$Pixels,,,,,,,,,,,"4G VoLTE, WCDMA",,,,,,
45,45,,,,,,,,3.5 mm,,1700 mAh,,,,,,,,,,2.4 inch,LCD,,16 GB,,,,,,,,,,32 MB,,,,,,,,Chilli B39,Symbian,Unbreakable Glass,,"‚¹1,099",1.3MP,Yes,1.3 megapixel,,Single Core,,,32 MB,240 x 320 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
46,46,,,,,,,,3.5 mm,,2300 mAh,,,4.1,,,,,,16 M,4.93 inch,,,128 GB,Yes,,,,,Yes,,,,16 GB,,,Hybrid Slot,,,,,LG X Screen K500I ,Android Marshmallow 6,,,"‚¹9,810",13MP,Yes,,1.2 GHz,Quad Core,Qualcomm Snapdragon 410,,2 GB,1280 x 720 Pixels,,,Nano SIM,,5MP,,,,,,"4G LTE, WCDMA",,,,,120 g,
47,47,,,,,,,,3.5 mm,,3000 mAh,,Yes,,,,,,,65 K,5.5 inch,,,128 GB,Yes,,,,,Yes,Adreno 510,Yes,,32 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,No,VIVO V5 ,Android Marshmallow 6,,,"‚¹14,999",13MP,Yes,"Panorama, HDR, Night, PPT, Motion Track, Professional, Slow, Fast, Voice Shutter, Touch Capture, Palm, Timer, Gender Detection, Filter, Watermark",1.5 GHz,Octa Core,MediaTek MT6750 64-bit Octa Core 1.5GHz,,4 GB,1280 x 720 Pixels,,,Micro SIM and Nano SIM,Yes,20MP,Yes,"Night, Voice Shutter, Touch Capture, Palm, Timer, Gender Detection, Filter, Watermark","Proximity Sensor, Accelerometer, E-compass, Ambient Light Sensor, Fingerprint",,,"4G LTE, WCDMA",,,,,154 g,802.11 b
48,48,,,,,,,,3.5 mm,,3000 mAh,,Yes,,,,,,,,2.4 inch,,,32 GB,Yes,,,,,,,,,32 MB,,,,,,,,Blackbear C-88,,,,"‚¹1,250",0.3MP,Yes,,,,,,32 MB,320 x 220 Pixels,,,,,,Yes,,,,,"GSM, GSM",,,,,120 g,
49,49,,,,,,,,,,1850 mAh,,Yes,4,,,,,,,4.5 inch,,,128 GB,Yes,,,Class 12,,Yes,,,,8 GB,"3G, GPRS, EDGE, Wi-Fi",,Dedicated Slot,,,,,Gionee P5 Mini ,Android Lollipop 5.1,"IPS Display, On-cell Display, Asahi Protection",,"‚¹4,890",5MP,Yes,"Geo-tagging, Scan, GIF, Panorama, HDR, Face Beauty, Pic Note, Filter",1.3 GHz,Quad Core,,,1 GB,854 x 480 Pixels,,,Micro SIM,Yes,2MP,Yes,,"Digital Compass, Proximity Sensor, G-Sensor, Light Sensor, Accelerometer",,,"GSM, WCDMA",,,,,132 g,802.11 b/g/n
50,50,,,,,,,,3.5 mm,,2800 mAh,,Yes,,,,,,,,2.4 inch,,,16 GB,Yes,,,,,,,,,,,,Dedicated Slot,,,,,Zen Power 205,,,,"‚¹1,370",1.3MP,,,,,,,,320 x 480 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
51,51,,,,,,,,,,800 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,20 KB,,,,,,,,Zen Atom 102,,,,‚¹999,1.3MP,Yes,,,,,,,480 x 854 Pixels,,,Micro SIM,Yes,,,,,,,"GSM, GSM",,,,,,
52,52,,,,,,,,3.5 mm,,3000 mAh,,Yes,4.1,,,,,,,5.2 inch,IPS LCD,,128 GB,Yes,,,,,,,,,16 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,Yes,Nokia 5 ,Android Nougat 7.1.1,"Aspect Ratio: 16:9, 2.5D Sculpted Corning Gorilla Glass, Brightness: 500 nits Laminated, Sunlight Visibility Improvement, Polarizer",,"‚¹11,400",13MP,Yes,"PDAF, 1.12 micrometer, f/2, Dual Tone Flash, Automatic Scene Detection",1.4,Octa Core,Qualcomm Snapdragon 430,,2 GB,1280 x 720 pixels,,,,Yes,8MP,Yes,"Autofocus, 1.12 micrometer, f/2, FOV 84Degrees, Selfie","Accelerometer (G-sensor), Ambient Light Sensor, E-compass, Fingerprint Sensor, Hall Sensor, Gyroscope, Proximity Sensor",,,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,,,
53,53,,,,,,,,3.5 mm Stereo,,3000 mAh,,Yes,4.1,,,,,,16 M,5.5 inch,Super AMOLED,,256 GB,,,,,,Yes,,,,16 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,Samsung Galaxy J7 Nxt ,Android Nougat 7,,,"‚¹9,990",13MP,Yes,"f1.9, Auto Focus",1.6 GHz,Octa Core,Exynos Octa-Core 1.6GHz,,2 GB,1280 x 720 Pixels,,,Micro SIM (3FF),,5MP,Yes,f2.2,"Accelerometer, Proximity Sensor",,,4G LTE,,,,,170 g,802.11 b/g/n (2.4 GHz)
54,54,,,,,,,,,,3020,,,,,,,,,,5,,,,,,,,,Yes,,,,32 GB,,,Hybrid Slot,,,,,Honor Holly 4 ,Android Nougat 7.0,,,"‚¹9,999",13MP,Yes,,1.4 GHz,Quad Core,4*Cortex-A53 1.4GHz + 4*Cortex-A53 1.1GHz Android 7.0 + EMUI 5.1,,3 GB,1280 x 720$$Pixels,,,,Yes,5MP,,,"Fingerprint Sensor, Accelerometer, Proximity Ambient light sensor, G-sensor",,,"4G LTE, GSM",,,,,,
55,55,,,,,,,,3.5 mm,,950 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,Gfive U229 Combo of Two Mobile,0,,,"‚¹1,119",0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
56,56,,,"21 Mbps HSDPA; 5.76 Mbps HSUPA, HSPA+",,,,,,,2500 mAh,,Yes,4,,,,,,,5 inch,,,32 GB,Yes,,,,,Yes,,,,16 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,,,,,,Asus Zenfone Go 5.0 LTE ,Android KitKat 4.4,"IPS Display, GFF Touch Panel (Support AS-Coating)",,"‚¹5,990",8MP,Yes,"Auto Focus, 11 Special Camera Modes (Auto Mode, Manual, HDR Mode, Super Resolution, Photo Solid, Night Portrait, Refocus, Filter Effects, Panorama, Smart Cut, Face Smile), PixelMaster, Photo Collage, Depth of Field, Color Lab",1.2 GHz,Quad Core,Qualcomm MSM8916,,2 GB,1280 x 720 Pixels,,,Micro SIM,Yes,5MP,Yes,"F2.2, Fixed Focus","Accelerometer, Gravity Sensor, Proximity Sensor, Ambient Light Sensor",,,"4G LTE, GSM",,,,,,802.11 a/b/g/n
57,57,,,,,,,,,,300 mAh,,,,,,,,,,1.44 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Whitecherry Spinner,,,,‚¹939,0MP,,,1.1 MHz,,,,32 MB,128 x 160$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
58,58,,,,,,,,3.5 mm,,2700 mAh,,Yes,,,,,,,262 K,2.4 inch,,,8 GB,Yes,,,,,,,,,,"GPRS, WAP",,,,,,,Lava KKT 40 Power,,,,"‚¹1,699",0.3MP,Yes,,,,,,,320 x 240 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
59,59,,,,,,,,,,1000 mAh,,,,,,,,,25,1.8 inch,,,,Yes,,,,,,,,,32 MB,,,Dedicated Slot,,,,No,InFocus Selfie C1,,1.8 Inch display,,‚¹644,1.3MP,Yes,1.3,1.2 MHz,,,,32 MB,320 x 240$$Pixels,,,Normal,Yes,0.3MP,Yes,0.3,na,,,"GSM, GSM",,,,,,
60,60,,,,,,,,,,4000 mAh,,,,,,,,,,5 inch,,,,,,,,,,,,,8 GB,,,,,,,,Micromax JUICE 3 ,Android Lollipop V5.1,,,"‚¹7,999",8MP,,,1.3 GHz,Single Core,,,2 GB,1280 x 720 Pixels,,,,,,,,,,,"UMTS, UMTS",,,,,,
61,61,,,,,,,,,,2800 mAh,,Yes,4,,,,,,,4.5 inch,IPS LCD,,128 GB,,,,,,Yes,,,,8 GB,"4G, 3G, EDGE, GPRS, Wi-Fi",,Dedicated Slot,,,,,LYF C451 ,Android Marshmallow 6,,,"‚¹4,150",5MP,Yes,"6x Digital Zoom, Face Detection and Creative Filters",1.3 GHz,Quad Core,MSM 8909,,1 GB,480 x 854 Pixels,,,Micro SIM and Micro SIM,Yes,2MP,Yes,,"Gyroscope, Ambient Light Sensor, Accelerometer, Proximity Sensor",,,"GSM, 4G LTE, 4G VoLTE, UMTS, WCDMA",,,,,165 g,802.11 b/g/n
62,62,,,,,,,,,,5000 mAh,,Yes,4,,,,,,,5.2 inch,IPS On Cell,,128 GB,,,,,,Yes,,,,32 GB,"4G, 3G, EDGE, GPRS, Wi-Fi",,Hybrid Slot,,,,,Panasonic Eluga A4 ,Android Nougat 7,2.5D Curved Display,,"‚¹8,990",13MP,Yes,"5P Lens Element, F2.2 Aperture, Modes: HDR, Face Beauty, Panoramic",1.25 GHz,Quad Core,MT6737,,3 GB,1280 x 720 Pixels,,,Nano SIM and Nano SIM,Yes,5MP,Yes,"Element Lens 3P, Aperture 2.2, Modes: Beauty Mode, HDR","Accelerometer, Proximity Sensor, Ambient Light, Fingerprint Sensor",,,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,,162 g,802.11b/g/n
63,63,,,,,,,,3.5,,1450 mAh,,Yes,,,,,,,,2.4 inch,LCD,,32 GB,Yes,,,,,Yes,,Yes,,32 MB,,,,,,,Yes,blackbear i7 yellow Color Free Back cover,1.2,,,"‚¹1,119",0.3MP,Yes,0.3,1 MHz,Dual Core,,,32 MB,420x320,,,Full,Yes,,No,,No,,,GSM,,,,,110 g,
64,64,,,HSPA+,,,,,3.5 mm,,3000 mAh,,Yes,4.2,,,,,,,5.2 inch,IPS,,128 GB,,,,,,Yes,Adreno 505 with GPU Supporting Upto 450 MHz Core,,,32 GB,"4G, 3G, GPRS, EDGE, Wi-Fi",,Hybrid Slot,,,,,Moto G5s ,Android Nougat 7.1.1,Corning Gorilla Glass 3,,"‚¹11,675",16MP,Yes,"Phase Dedicated Auto Focus (PDAF), f/2.0 Aperture, Drag to Focus Exposure, Quick Capture, Tap (Anywhere to Capture), Best of Shot, Professional Mode, Burst Mode, Auto HDR, Panorama, Video Stabilization, Slow Motion Video",1.4 GHz,Octa Core,Qualcomm Snapdragon 430,,4 GB,1920 x 1080 Pixels,,,Nano SIM and Nano SIM,Yes,5MP,Yes,"Wide Angle Lens, f/2.0 Aperture, Professional Mode, Beautification Mode, Group Selfies","Fingerprint Reader, Accelerometer, Gyroscope, Ambient, Light, Proximity",,,"4G VoLTE, 4G LTE, UMTS, WCDMA",,,,,157 g,802.11 a/b/g/n
65,65,,,,,,,,,,3000 mAh,,,,,,,,,,2.4 inch,,,,,,,,,,,,,20 MB,,,Hybrid Slot,,,,,Ziox Thunder Bolt,,,,"‚¹1,299",0.3MP,,,,,,,128 MB,240 x 320 Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,,
66,66,,,,,,,,3.5 mm,,2000 mAh,,Yes,2.0,,,,,,,4.5 inch,IPS LCD,,128 GB,,,,,,,,,,8 GB,,,Dedicated Slot,,,,,LYF C459 ,Android Marshmallow 6.0.1,,,"‚¹3,999",5MP,Yes,"Auto Frame Rate, Red Eye Reduction, Continuous Auto Focus, Video HDR supported in code, Smile Detection, Gaze detection, Blink Detection, Panorama",1.3 GHz,Quad Core,,,1 GB,480 x 854$$Pixels,,,Micro SIM,Yes,2MP,Yes,,"Gyroscope, Ambient Light Sensor, Accelerometer, Proximity Sensor",,,"4G VoLTE, GSM",,,,,139 g,
67,67,,,,,,,,3.5 mm,,2000 mAh,,Yes,4,,,,,,,5 inch,IPS -On-Cell,,32 GB,Yes,,,,,Yes,,Yes,,16 GB,2G/3G,,Hybrid Slot,,,,,Intex Aqua Xtreme II ,Android KitKat 4.4.2,,,"‚¹4,999",13MP,Yes,Night Mode,1.4 GHz,Single Core,MT 6592M Chipset,,2 GB,1280 x 720 Pixels,,,Micro SIM,Yes,,Yes,,"G-Sensor, Proximity Sensor, Light Sensor,Gyro, E-compass Assistant Sensor",,,"GSM, GSM",,,,,132 g,
68,68,,,,,,,,,,1000 mAh,,,,,,,,,,1.8 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Mymax M42,,,,‚¹599,1.3MP,,,1.2 MHz,,,,32 MB,320 x 400$$Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
69,69,,,,,,,,3.5 mm,,1050 mAh,,Yes,,,,,,,,1.77 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,Kara Passion,,,,‚¹599,0.3MP,,,,,,,64 MB,320 x 480 Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
70,70,,,,,,,,3.5 mm,,950 mAh,,Yes,,,,,,,,1.8 inch,,,8 GB,Yes,,,,,,,,,64 MB,,,Dedicated Slot,,,,,Gfive U229 Combo of Three Mobile,0,,,"‚¹1,659",0.3MP,Yes,,,,,,32 MB,128 x 160$$Pixels,,,,Yes,,No,,,,,"GSM, GSM",,,,,,
71,71,,,,,,,,,,1000 mAh,,,,,,,,,,1.8 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,UI Phones Selfie 1,,,,‚¹830,0.3MP,,,,,,,32 MB,128 x 160 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
72,72,,,21 Mbps HSDPA; 5.7 Mbps HSUPA,,,,,3.5 mm,,2125 mAh,,Yes,4,,,,,,,5 inch,,,32,Yes,,,Class 12,,Yes,Adreno 304; 409 MHz,,,8 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,,,,,,LG K-7 ,Android Lollipop 5.1,"2.5D Arc Glass Display, In-cell Touch Display, 196 PPI",,"‚¹6,730",5MP,Yes,"Touch and Shoot, Auto Focus, CMOS, Timer, Swap Camera, Flash: Off, On, Auto, Switch to Video Camera, Gesture Shot, Cheese Shutter, Switch to Image Capture",1.1 GHz,Quad Core,Qualcomm Snapdragon MSM8909,,1.5 GB,854 x 480 pixel,,,Nano SIM,Yes,5MP,Yes,"Gesture Shot, Front Camera Light, Swap Camera","Proximity, Accelerometer, Digital Compass",,,"4G LTE, GSM",,,,,141 g,802.11 b/g/n
73,73,,,,,,,,,,3500 mAh,,,,,,,,,16 M,5.5 inch,,,128 GB,,,,,,,,,,32 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,,Lenovo Vibe K5 Note ,Android Marshmallow 6,"401 PPI, IPS Display, 178 Degree Wide View Display, Screen 70% NTSC Color Optimization, 1000:1 Contrast Ratio",,"‚¹10,223",13MP,Yes,13 MP PDAF with 5-pieces Composite Lens,1.8 GHz,Octa Core,Mediatek Helio P10 64-bit Octa Core 1.8GHz,,3 GB,1920 x 1080 pixels,,,Nano SIM,Yes,8MP,Yes,"Fixed Focus, 1.4 um Pixels",Finger Print Sensor,,,"4G LTE, 4G LTE",,,,,165 g,
74,74,,,,,,,,,,850 mAh,,,,,,,,,,1.44 inch,1.44,,,,,,,,,,,,100 MB,,,Dedicated Slot,,,,,Teckmax 37 Mini,,,,‚¹798,0MP,,,1 MHz,,,,32 MB,120 x 240$$Pixels,,,,Yes,,,,,,,GSM,,,,,,
75,75,,,,,,,,,,4000 mAh,,Yes,,,,,,,,5.3 inch,IPS,,256 GB,Yes,,,,,Yes,,,,32 GB,"4G, 3G, Wi-Fi",,Dedicated Slot,,,,,Gionee A1 Lite ,Android Nougat 7.0,2.5D Curved Edge Display along with Gorilla Glass 3,,"‚¹11,450",13MP,Yes,,1.3 GHz,Octa Core,MT6753V/WA,,3 GB,1280 x 720 Pixels,,,Nano SIM and Nano SIM,Yes,20MP,Yes,"Selfie Camera, 5P Lens and f/2.0 Aperture, Night, Panorama, Professional, Time-lapse, Slow Motion, Smart Scene, Text Recognition, GIF, PicNote, Smart Scan, Mood Photo, Cards Scanner",,,,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,,116 g,
76,76,,,,,,,,,,2000 mAh,,,,,,,,,,5 inch,,,,,,,,,,,,,8 GB,,,Dedicated Slot,,,,,XCCESS A1 Elite ,Android Lollipop 5.1,,,"‚¹3,999",8MP,,,1.2 GHz,Single Core,,,1 GB,1280 x 720 Pixels,,,,,,,,,,,"GSM, WCDMA",,,,,,
77,77,,,,,,,,,,2000 mAh,,,,,,,,,,5 inch,,,,,,,,,,,,,8 GB,,,,,,,,Micromax Canvas Amaze ,Android Lollipop 5.1,,,"‚¹6,990",13MP,,,1.3 GHz,Quad Core,,,2 GB,1280 x 720 Pixels,,,,,,,,,,,"UMTS, UMTS",,,,,,
78,78,,,,,,,,3.5 mm,,2300 mAh,,Yes,,,,,,,,5 inch,Capacitive Touch,,32 GB,Yes,,,,,,,,,8 GB,,,Dedicated Slot,,,,,Karbonn K9 Smart Eco ,Android Nougat 7.0,,,"‚¹2,810",2MP,Yes,,1.2 GHz,Quad Core,,,1 GB,480 x 854 Pixels,,,,Yes,2MP,Yes,,,,,"GSM, WCDMA",,,,,156 g,
79,79,,,,,,,,3.5 mm,,4000 mAh,,Yes,4.2,,,,,,,5.99 inch,IPS (in-cell),,128 GB,,,,,,Yes,Adreno 506,,,64 GB,"4G, 3G, Wi-Fi",,Hybrid Slot,,,,,Redmi Note 5 ,Android Nougat 7.1.2,"Contrast Ratio: 1000:1, 2.5D Front Glass Panel, Corning Gorilla Glass",,"‚¹11,999",12MP,Yes,"f/2.2, 1.25 microns Pixel Size, 5P Lens, PDAF",2 GHz,Octa Core,Qualcomm Snapdragon 625,,4 GB,2160 x 1080 Pixels,,,Nano SIM and Nano SIM,,5MP,Yes,"Aperture - f2.0, 1.12 microns Pixel Size","Fingerprint Scanner, Ambient Light Sensor, Proximity Sensor, E Compass, Accelerometer, Hall Sensor, Gyroscope",,,"4G VoLTE, UMTS, GSM, 4G LTE, WCDMA",,,,,180 g,802.11 a/b/g/n
80,80,,,42.2 Mbps HSDPA; 5.76 Mbps HSUPA,,,,,3.5 mm,,2600 mAh,,Yes,v4.1,,,,,,16 M,5 inch,TFT,,128 GB,Yes,,,,,Yes,ARM Mali-T720 MP1,,,8 GB,"4G, 3G, Wi-Fi, GPRS, EDGE",,Dedicated Slot,,,,,Samsung Galaxy On5 ,Android Marshmallow 6.0.1,,,"‚¹6,990",8MP,Yes,"Flash Support, Modes - Auto, Beauty Face, Continuous Shot, Interval Shot, Panorama, One Touch Shoot",1.3 GHz,Quad Core,Exynos 3475 Quad Core 1.3GHz,,1.5 GB,1280 x 720 Pixels,,,Micro SIM,Yes,5MP,Yes,"Pro Selfie, Wide Selfie, Palm Gesture Selfie","Accelerometer, Proximity Sensor",,,"4G LTE, 4G LTE",,,,,149 g,802.11 b/g/n
81,81,,,,,,,,3.5 mm,,3600 mAh,,Yes,4.2,,,,,,16 M,5.5 inch,Super AMOLED,,200 GB,,,,,,,,,,32 GB,"4G, 3G, Wi-Fi, GPRS",,,,,,Yes,Samsung Galaxy S7 Edge ,Android Marshmallow 6,,,"‚¹35,900",12MP,Yes,"Dual Pixel, Auto Focus, Motion Mode, Panorama Mode, f/1.7, Hyperlapse, Slow Motion, Pro-mode, Live Broadcast, Video Collage, Virtual Shot, Food Mode",2.3 GHz,Octa Core,Exynos 8890,,4 GB,2560 X 1440 Pixels,,,Nano SIM,Yes,5MP,Yes,"Selfie Flash, f/1.7, CMOS","Accelerometer, Barometer, Fingerprint Sensor, Gyro Sensor, Geo-magnetic Sensor, Hall Sensor, HR Sensor, Proximity Sensor, RGB Light Sensor",,,"4G LTE, 4G LTE",,,,,157 g,802.11 a/b/g/n/ac
82,82,,,,,,,,3.5MM,,1800 mAh,,Yes,,,,,,,,2.6 inch,TFT,,,Yes,,,,,No,,No,,,,,,,,,No,Karbonn K9,Belle,,,"‚¹1,155",2.0MP,Yes,,,Single Core,,,,"QVGA, 240 x 320",,,,,,No,,,,,"GSM, GSM",,,,,,
83,83,,,,,,,,3.5 mm,,1000,,Yes,,,,,,,,1.8,,,16 GB,Yes,,,,,,,,,10 MB,2G,,Dedicated Slot,,,,,BlackZone Flip-X,,,,‚¹829,0.3MP,Yes,0.3 MP,1 MHz,,,,10 MB,320 x 240$$Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
84,84,,,,,,,,,,2200 mAh,,Yes,4.0,,,,,,,5 inch,IPS,,128 GB,,,,,,Yes,,,,16 GB,"4G, 3G, EDGE, GPRS, Wi-Fi",,Dedicated Slot,,,,,Panasonic P100 ,Android Nougat 7.0,2.5D Curved Display with Gorilla Glass,,"‚¹5,299",8MP,Yes,"5P Lens Element, F2.2 Aperture, Modes: Panaroma, Face Beauty, HDR",1.25 GHz,Quad Core,Mediatek MTK 6737 Quad Core,,1 GB,1280 x 720 Pixels,,,Micro SIM and Micro SIM,Yes,5MP,Yes,"Element Lens 4P, Aperture 2.2, Modes: Beauty Mode, HDR","Accelerometer, Proximity Sensor, Ambient Light Sensor, Fingerprint Sensor",,,"GSM, 4G LTE",,,,,174.8 g,802.11b/g/n
85,85,,,,,,,,3.5 mm,,2500 mAh,,Yes,4.0,,,,,,16.7 M,4 inch,,,32 GB,Yes,,,,,Yes,,Yes,,4 GB,,,Dedicated Slot,,,,,Swipe Neo Power ,Android Marshmallow 6.0,,,"‚¹2,690",5MP,,,1.3 GHz,Quad Core,,,512 MB,800 x 480 Pixels,,,Nano SIM and Micro SIM,Yes,2MP,,,,,,"GSM, 4G LTE",,,,,125 g,
86,86,,,,,,,,,,400 mAh,,,,,,,,,,1.44 inch,,,,,,,,,,,,,250 MB,,,Dedicated Slot,,,,,Kechaoda K55 Ultra Slim,,,,‚¹790,,,,,,,,100 MB,320 x 480 Pixels,,,Micro SIM,Yes,,,,,,,GSM,,,,,50 g,
87,87,,,,,,,,3.5 mm,,1000,,Yes,,,,,,,,1.8,,,16 GB,Yes,,,,,,,,,10 MB,2G,,Dedicated Slot,,,,,BlackZone Flip-X,,,,‚¹829,0.3MP,Yes,0.3 MP,1 MHz,,,,10 MB,320 x 240$$Pixels,,,,Yes,,,,,,,"GSM, GSM",,,,,,
88,88,,,,,,,,,,400 mAh,,,,,,,,,,1.77 inch,,,,,,,,,,,,,32 MB,,,Dedicated Slot,,,,,Kechaoda K116 Plus,,,,‚¹975,0.3MP,,,0.1 MHz,,,,32 MB,320 x 240$$Pixels,,,,,,,,,,,GSM,,,,,,
89,89,,,HSPA+,,,,,,,4000 mAh,,,,,,,,,16M,5.2 inch,TFT LCD IPS,,128 GB,,,,,,,,,,32 GB,"4G, 3G, GPRS, EDGE",,,,,,,Lenovo K8 ,Android Nougat 7.1.1,,,"‚¹8,999",13MP,Yes,Auto Focus,2.3 GHz,Octa Core,MTK P20,,3 GB,1280 x 720,,,Nano SIM,Yes,8MP,Yes,,Fingerprint Sensor,,,"4G VoLTE, 4G LTE, WCDMA",,,,,,
90,90,,,,,,,,,,2500 mAh,,Yes,,,,,,,16 M,5 inch,,,,Yes,,,,,Yes,,Yes,,16 GB,,,Hybrid Slot,,,,,ZTE V7 Lite ,Android Marshmallow 6.0,,,"‚¹8,766",13MP,Yes,"Geo-Tagging, Touch Focus, Face Detection, HDR, Panorama",1 GHz,Quad Core,,,2 GB,720 x 1280 pixels,,,,Yes,8MP,Yes,"Geo-tagging, touch focus, face detection, HDR, panorama","Fingerprint (rear-mounted), accelerometer, proximity, compass",,,"4G VoLTE, GSM",,,,,133.3 g,
91,91,,,,,,,,,,1000 mAh,,,,,,,,,,1.4 inch,,,,,,,,,,,,,64 MB,,,,,,,,I Kall K71 Combo of Two Mobile,,,,‚¹799,0MP,No,,,,,,32 MB,96 x 68 Pixels,,,Normal SIM,Yes,,No,,,,,GSM,,,,,,
92,92,,,,,,,,,,1650 mAh,,,,,,,,,,2.8 inch,,,,,,,,,,,,,56 MB,,,,,,,,Micromax X913,,,,"‚¹1,749",0.3MP,,,,,,,56 MB,320 x 480 Pixels,,,,,,,,,,,"GSM, GSM",,,,,,
93,93,,,2G,,,,,3.5 mm,,1000 mAh,,Yes,AD2P,,,,,,,2.4 inch,TFT,,32 GB,Yes,,,,,,,Yes,,32 MB,2G,,Dedicated Slot,,,,,Trio T6*,,,,‚¹799,1.3MP,Yes,,,,,,32 MB,320 x 480 Pixels,,,Normal SIM,Yes,,,,,,,"GSM, GSM",,,,,,
